item_id,name,category,location_id,quantity,unit,vendor,catalog_no,lot,received,expires,status,last_verified,verified_by,owner,source,photo_id,notes
itm-00031,handheld motorized pestle homogenizer,equipment,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00032,dissection plates,consumable,209-DRW-08,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00033,Plastic boxes to hold sample tubes,consumable,209-CAB-09,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00034,Plastic bottles,glassware,209-CAB-10,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00035,plastic containers,consumable,209-CAB-10,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00036,2000mL flask,glassware,209-CAB-10,,,,,,,,missing,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00037,paper and plastic boxes to hold sample tubes,consumable,209-CAB-10,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00038,Electrophoresis supplies,other,209-CAB-11,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00039,Electrophoresis supplies,other,209-CAB-12,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00040,Large bottle brushes,glassware,209-CAB-13,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00041,Pipet parts,consumable,209-CAB-15,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00042,repeater pipets,equipment,209-CAB-15,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00043,serological pipettors,equipment,209-CAB-15,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00044,Serological pipets,consumable,209-CAB-16,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00045,Sam's drawer,other,209-DRW-17,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00046,Hot plate pads? (there are large mesh squares w/ a white circle in the middle. unsure what they are),equipment,209-DRW-18,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00047,Centrifuge bottles,glassware,209-DRW-19,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00048,centrifuge tubes,equipment,209-DRW-19,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00049,Miscellaneous handbooks and manuals,office,209-DRW-20,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00050,Histology cassettes,consumable,209-DRW-21,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00051,microscope glass cover slips,glassware,209-DRW-21,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00052,coverwell incubation chambers PC50 and PC200,consumable,209-DRW-21,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00053,wheaton ribbed glass jars in same box as incubation chambers *unsure what these are*,glassware,209-DRW-21,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00054,Extra keyboards,equipment,209-CAB-27,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00055,nintendo,other,209-CAB-27,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00056,computer mouse,equipment,209-CAB-27,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00057,bowling supplies,other,209-CAB-27,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00058,White-out,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00059,staples,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00060,glue stick,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00061,statmark pens,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00062,green flag post-its,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00063,invisible tape,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00064,pens,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00065,pencils,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00066,sharpies,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00067,scissors,tool,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00068,tacks,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00069,paper clips,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00070,batteries,consumable,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00071,Lab logo stickers,office,209-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00072,All-weather copier paper,office,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00073,mini composition notebooks,office,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00074,high gloss photo paper,office,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00075,file folders,office,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00076,tube labels - 20 sheets (cat: 89097-572),consumable,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00077,Tough Spots tube labels,consumable,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00078,"Tough-Spots, 3/8"" diameter, white, on sheets (cat: 9185-1000)",office,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00079,business card paper,office,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00080,command strips,consumable,209-DRW-31,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00081,Printer paper,office,209-DRW-33,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00082,laser lables,other,209-DRW-33,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00083,Scientific calculator,office,209-DRW-34,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00084,empty google notebook,office,209-DRW-34,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00085,graph paper on clipboard,office,209-DRW-34,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00086,paper/plastic report covers,office,209-DRW-34,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00087,EZNA mollusc dna kit product manual,office,209-DRW-34,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00088,tissue FIX container (50mL) manual,office,209-DRW-34,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00089,Mostly empty composition notebook (only first 3 pages used),office,209-DRW-35,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00090,DNeasy blood and tissue handbook,office,209-DRW-35,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00091,800mL commode collection container,consumable,209-DRW-37,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00092,Glass bottles,glassware,209-CAB-38,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00093,Glass bottles,glassware,209-CAB-39,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00094,plastic bottles,glassware,209-CAB-39,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00095,overflow flasks,glassware,209-CAB-39,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00096,Standard PCR plates,consumable,209-DRW-40,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00097,Standard PCR caps,consumable,209-DRW-40,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00098,aluminum adhesive PCR plate seal,consumable,209-DRW-40,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00099,qPCR plates,consumable,209-DRW-41,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00100,qPCR caps,consumable,209-DRW-41,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00101,Multichannel pipettes,consumable,209-DRW-42,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00102,Tube magnets,equipment,209-DRW-43,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00103,DynaMag,equipment,209-DRW-43,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00104,epimag magnetic separator,equipment,209-DRW-43,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00105,nucleomag SEP,equipment,209-DRW-43,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00106,PCR tubes,consumable,209-DRW-44,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00107,Weigh boats,glassware,209-DRW-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00108,weigh paper,glassware,209-DRW-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00109,stir bars,tool,209-DRW-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00110,funnels,tool,209-DRW-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00111,Mettler Toledo titration electrode DGi115-SC,equipment,209-DRW-46,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00112,thermometer,tool,209-DRW-46,2,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00113,empty thermometer cases,tool,209-DRW-46,3,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00114,Glass filter supplies,consumable,209-DRW-47,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00115,"3"" W.S. Tyler U.S. Standard Sieve - Stainless steel frame/mesh, No. 635 - 0.020mm opening, full height",tool,209-DRW-47,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00116,"PluriSelect 1um, 3um, 5um, 8um filters",consumable,209-DRW-47,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00117,Flasks,glassware,209-CAB-48,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00118,Flasks,glassware,209-CAB-49,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00119,100mL beakers,glassware,209-CAB-49,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00120,250 mL beakers,glassware,209-CAB-49,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00121,600 mL beakers,glassware,209-CAB-49,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00122,1000 mL beaker,glassware,209-CAB-49,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00123,Protein supplies,other,209-CAB-50,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00124,blotting paper,office,209-CAB-50,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00125,Mass spec autosampler vials,consumable,209-CAB-50,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00126,1-200uL gel loading pipet tips,consumable,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00127,disposable cuvettes,glassware,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00128,10% acetic acid,reagent,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00129,coomassie stain,reagent,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00130,E-Gel starter pak,other,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00131,ProBond purification system,other,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00132,"macrospin columns (50-450uL loading, 30-300ug capacity)",consumable,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00133,large blotting paper,office,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00134,orange clips,other,209-CAB-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00135,Proline algae food,media,209-CAB-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00136,pro-culture,other,209-CAB-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00137,distilled water,reagent,209-CAB-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00138,hand soap,other,209-CAB-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00139,Bleach,other,209-CAB-53,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00140,bottle brushes,glassware,209-CAB-53,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00141,water level alarms,reagent,209-CAB-53,2,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00142,saltwater master test kit,kit,209-CAB-53,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00143,Chemicals,other,209-CAB-54,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00144,paper towels,office,209-CAB-54,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00145,tips,consumable,209-CAB-54,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00146,syringes,consumable,209-CAB-54,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00147,Serological pipets,consumable,209-CAB-55,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00148,chemicals,other,209-CAB-55,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00149,syringes,consumable,209-CAB-55,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00150,"Upper: empty. Lower: histology blocks x2 (one completely empty, one with samples inside)",sample,213-CAB-01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00151,"Upper: histology slide cases. Lower: histology block x1 (empty), empty histology cassettes",consumable,213-CAB-02,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00152,Used notebooks,office,213-DRW-16,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00153,Notes,other,213-DRW-17,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00154,"eDNA, gDNA, & cDNA samples, Primer stocks, misc. samples",sample,213-DRW-27,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,Small freezer
itm-00155,Strip cap trays,consumable,213-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00156,falcon tube holders,consumable,213-DRW-28,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00157,Keyboard,equipment,213-DRW-29,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00158,Acids,other,213-CAB-32,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00159,Acids,other,213-CAB-33,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00160,2 filled hazardous waste containers,consumable,213-CAB-35,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00161,One complete snapzoom,other,213-DRW-36,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00162,one snapzoom missing actual device,other,213-DRW-36,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00163,one empty histology slide box,consumable,213-DRW-36,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00164,2 phone attachments for microscope,equipment,213-DRW-36,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00165,old iphone,other,213-DRW-36,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00166,iphone lightning-USB cable,other,213-DRW-36,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00167,empty tube box with cell counting equipment inside,consumable,213-DRW-36,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00168,Plain capillary tubes,consumable,213-DRW-37,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00169,weigh boats,glassware,213-DRW-37,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00170,optical lens cleaner,other,213-DRW-37,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00171,falcon 7 mL pipette,consumable,213-DRW-37,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00172,"50 mL conical tube labeled ""MTPW""",consumable,213-DRW-37,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00173,Microscope bulb and lenses,equipment,213-DRW-40,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00174,cover glass,other,213-DRW-40,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00175,hemacytometer,other,213-DRW-40,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00176,counting chamber,other,213-DRW-40,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00177,Wolfgang puck automatic one-touch food packaging system,media,213-DRW-42,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00178,Plastic bags,consumable,213-DRW-43,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00179,Salad spinner,other,213-CAB-44,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00180,styrofoam containers,consumable,213-CAB-44,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00181,Ethanol,reagent,213-CAB-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00182,whiteboard cleaning spray,other,213-CAB-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00183,bleach,other,213-CAB-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00184,another salad spinner,other,213-CAB-45,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00185,Olivia's Drawer: multichannel pipette + random things for microplate assays + nail polish+ white out+ ruler + flash drive + graduated cylinder,glassware,213-DRW-46,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00186,? lots of random parts from the brand HOBO,other,213-DRW-47,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00187,Digital heater temperature control,other,213-DRW-48,4,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00188,Equipment manuals,office,213-DRW-49,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00189,Digital heater temperature control,other,213-DRW-50,4,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00190,Weight boats (large and small),other,213-DRW-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00191,victorinox knife,other,213-DRW-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00192,green sheet,other,213-DRW-51,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00193,"One pair of black, rubber cleaning gloves",consumable,213-DRW-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00194,3 pairs of grey rockland guard gloves,consumable,213-DRW-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00195,one pair gardening gloves,consumable,213-DRW-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00196,microfiber towels,other,213-DRW-52,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00197,Cardboard trays (like what you would get at a fast food restaurant),media,213-DRW-53,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00198,Glass fiber filters (25 mm) Type A/E,consumable,213-DRW-54,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00199,circle stickers for labelling,office,213-DRW-54,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00200,red autoclave bags,consumable,213-DRW-54,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00201,50mL tubes+ Song Joy wave maker (2 boxes),consumable,213-DRW-55,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00202,Box of Dispensette: missing some parts,other,213-DRW-56,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00203,bunsen burner lighter and 2 bic lighters,other,213-DRW-56,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00204,Digital heater temperature control,other,213-DRW-57,2,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00205,Zipties,other,213-DRW-58,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00206,Counter,other,213-DRW-59,6,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00207,Clipboard,office,213-DRW-60,5,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00208,2 yellow lined note pads,other,213-DRW-60,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00209,autoclave gloves,consumable,213-DRW-61,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00210,PAXgene tissue RNA kit,kit,213-OTH-X01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00211,PAXgene tissue miRNA kit,kit,213-OTH-X01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00212,Storage bin with field gear,other,213-OTH-X02,,,,,,,,unverified,2021-08-29,,Goetz,legacy-xlsx,,
itm-00213,Satellite tag and pipette tips,equipment,213-BIN-X01,,,,,,,,unverified,2021-08-29,,Goetz,legacy-xlsx,,
itm-00214,Satellite tags,equipment,213-BIN-X02,,,,,,,,unverified,2021-08-29,,Goetz,legacy-xlsx,,
itm-00215,unspecified contents,other,213-BIN-X03,,,,,,,,unverified,2021-08-29,,Goetz,legacy-xlsx,,
itm-00216,unspecified contents,other,213-BIN-X04,,,,,,,,unverified,2021-08-29,,Goetz,legacy-xlsx,,
itm-00217,Gloves,consumable,213-BIN-X05,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00218,pipette tips,consumable,213-BIN-X05,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00219,etc,other,213-BIN-X05,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00220,Aluminum foil,consumable,213-SH-S02,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00221,kimtech wipes,consumable,213-SH-S02,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00222,nitrile gloves,consumable,213-SH-S02,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00223,Resin tube vacuum manifold,equipment,213-SH-S03,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00224,BCS plates,sample,213-BIN-X06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00225,BCS plates,sample,213-BIN-X07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00226,BCS plates and samples in 100% ethanol,sample,213-BIN-X08,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00227,BCS plates and samples in 100% ethanol (on top: cases filled with histology slides),sample,213-BIN-X09,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00228,unknown (couldn't reach them),other,213-BIN-X10,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00229,unknown (couldn't reach them),other,213-BIN-X11,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00230,unknown (couldn't reach them),other,213-BIN-X12,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00231,Pipette tips and misc. samples,sample,213-CAB-X01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00232,Big buckets,other,M80-SH-X01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00233,large water containers with taps,consumable,M80-SH-X01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00234,large coolers,other,M80-SH-X01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00235,shellfish nets/bags,consumable,M80-SH-X01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00236,Metal trays for boxes to put in -80˚,consumable,M80-SH-X02,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
